,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
533,doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
534,doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use. If a doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
535,doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
536,doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
537,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
538,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid doxepin use. If doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
539,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
540,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
541,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
542,doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
543,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
544,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid doxepin use. If doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
545,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
546,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
547,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
548,doxepin,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
549,doxepin,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
550,doxepin,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
551,doxepin,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
552,doxepin,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
553,doxepin,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
554,doxepin,CYP2C19,Indeterminate,CYP2D6,None,None
555,doxepin,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
556,doxepin,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
557,doxepin,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
558,doxepin,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
559,doxepin,CYP2C19,None,CYP2D6,Indeterminate,None
560,doxepin,CYP2C19,None,CYP2D6,None,None
561,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
562,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
563,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
564,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
565,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
566,imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
567,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
568,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
569,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
570,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
571,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
572,imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
573,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
574,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
575,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
576,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
577,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
578,imipramine,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
579,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
580,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
581,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
582,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
583,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
584,imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
585,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
586,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
587,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
588,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
589,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
590,imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
591,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
592,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid imipramine use. If imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
593,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
594,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
595,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
596,imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
597,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
598,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid imipramine use. If imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
599,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
600,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
601,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
602,imipramine,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
603,imipramine,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
604,imipramine,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
605,imipramine,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
606,imipramine,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
607,imipramine,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
608,imipramine,CYP2C19,Indeterminate,CYP2D6,None,None
609,imipramine,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
610,imipramine,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
611,imipramine,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
612,imipramine,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
613,imipramine,CYP2C19,None,CYP2D6,Indeterminate,None
614,imipramine,CYP2C19,None,CYP2D6,None,None
615,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
616,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
617,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
618,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
619,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
620,trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
621,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
622,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
623,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
624,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
625,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
626,trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
627,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
628,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
629,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
630,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
631,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
632,trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
633,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
634,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
635,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
636,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
637,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
638,trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
639,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
640,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
641,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
642,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
643,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
644,trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
645,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
646,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid trimipramine use. If trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
647,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
648,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
649,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
650,trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
651,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
652,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid trimipramine use. If trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
653,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
654,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
655,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
